variable,importancia
numericas__RH,0.115184248446399
numericas__TMP,0.10718467472211633
numericas__HORA_COS,0.10460855837987007
numericas__WSP,0.0891150048721527
numericas__WDR_SIN,0.08173818944396713
numericas__WDR_COS,0.08150449908247946
numericas__MES_SIN,0.06987894296673161
numericas__HORA_SIN,0.06742910350969392
numericas__MES_COS,0.054992509457455326
numericas__DIA_SEMANA_SIN,0.04535037910564527
numericas__alt,0.03999066834376453
numericas__longitud,0.03369945740296746
numericas__DIA_SEMANA_COS,0.03260951634153019
numericas__latitud,0.03256983510759494
categoricas__ESTACION_SAC,0.0073378728186861576
categoricas__ESTACION_MER,0.004868331280248918
categoricas__ESTACION_BJU,0.004667615091034749
categoricas__ESTACION_MON,0.0041210943706060325
categoricas__ESTACION_UAX,0.0037940871913441972
categoricas__ESTACION_SAG,0.0033715755393000824
categoricas__ESTACION_MPA,0.003066647286317788
categoricas__ESTACION_INN,0.002599951123833784
categoricas__ESTACION_GAM,0.0024539602517691687
categoricas__ESTACION_PED,0.0024425283006943685
categoricas__ESTACION_NEZ,0.0023040648857728095
categoricas__ESTACION_FAR,0.0015654949097860457
categoricas__ESTACION_AJM,0.0015511897682379417
