variable,importancia
numericas__TMP,0.108420718585369
numericas__RH,0.10454050053995152
numericas__MES_SIN,0.09442211360771069
numericas__WSP,0.09218104229958339
numericas__HORA_COS,0.08731320429992417
numericas__WDR_COS,0.07302678816254198
numericas__WDR_SIN,0.06696845158150014
numericas__HORA_SIN,0.06507559680256628
numericas__MES_COS,0.06454073074383028
numericas__alt,0.052439031936069705
numericas__longitud,0.03994198154723779
numericas__DIA_SEMANA_SIN,0.03787242029975279
numericas__latitud,0.03661876519889546
numericas__DIA_SEMANA_COS,0.02834290989347852
categoricas__ESTACION_SAC,0.0108493343586076
categoricas__ESTACION_MON,0.0048531267705318295
categoricas__ESTACION_MPA,0.004311556318956154
categoricas__ESTACION_MER,0.004281446627888022
categoricas__ESTACION_NEZ,0.0038067309607096554
categoricas__ESTACION_INN,0.0037082239025142067
categoricas__ESTACION_BJU,0.0034018252392466392
categoricas__ESTACION_UAX,0.003046809339673324
categoricas__ESTACION_SAG,0.0026552602763116446
categoricas__ESTACION_GAM,0.0024497559082385613
categoricas__ESTACION_PED,0.002309595311875604
categoricas__ESTACION_FAR,0.0013310748960309302
categoricas__ESTACION_AJM,0.0012910045910038946
